"floor","radon","county"
"basement",4.9,"DAKOTA"
"basement",4.7,"DAKOTA"
"basement",1.4,"DAKOTA"
"basement",3.4,"DAKOTA"
"basement",4.2,"DAKOTA"
"basement",2.5,"DAKOTA"
"basement",1.4,"DAKOTA"
"basement",1.4,"DAKOTA"
"basement",1.9,"DAKOTA"
"basement",4.8,"DAKOTA"
"first",1.4,"DAKOTA"
"basement",3.8,"DAKOTA"
"basement",8.8,"DAKOTA"
"basement",4.3,"DAKOTA"
"basement",4.4,"DAKOTA"
"basement",4.5,"DAKOTA"
"basement",2.2,"DAKOTA"
"basement",0.5,"DAKOTA"
"basement",5.8,"DAKOTA"
"basement",5.4,"DODGE"
"basement",7.2,"DODGE"
"basement",5.7,"DODGE"
"basement",7.4,"DOUGLAS"
"basement",4.8,"DOUGLAS"
"basement",6.8,"DOUGLAS"
"basement",6.4,"DOUGLAS"
"first",3.7,"DOUGLAS"
"basement",5.5,"DOUGLAS"
"basement",7.8,"DOUGLAS"
"basement",4.4,"DOUGLAS"
"basement",2.7,"DOUGLAS"
"basement",3.4,"FARIBAULT"
"basement",4.2,"FARIBAULT"
"basement",2.3,"FARIBAULT"
"first",1.3,"FARIBAULT"
"basement",5.2,"FARIBAULT"
"basement",0.1,"FARIBAULT"
"first",2.5,"FILLMORE"
"basement",3.2,"FILLMORE"
"basement",3.2,"FREEBORN"
"basement",9.6,"FREEBORN"
"basement",4.2,"FREEBORN"
"basement",9,"FREEBORN"
"basement",6.3,"FREEBORN"
"basement",32.6,"FREEBORN"
"basement",13.2,"FREEBORN"
"first",2.2,"FREEBORN"
"first",5.6,"FREEBORN"
"basement",14.3,"GOODHUE"
"first",6.9,"GOODHUE"
"basement",7.6,"GOODHUE"
"first",9.8,"GOODHUE"
"basement",2.6,"GOODHUE"
"basement",43.5,"GOODHUE"
"basement",4.9,"GOODHUE"
"basement",4.9,"GOODHUE"
"basement",3.5,"GOODHUE"
"basement",4.8,"GOODHUE"
"basement",5.6,"GOODHUE"
"basement",3.5,"GOODHUE"
"basement",3.9,"GOODHUE"
"basement",6.7,"GOODHUE"
"basement",7.9,"HENNEPIN"
"basement",3.3,"HENNEPIN"
"first",2.1,"HENNEPIN"
"basement",1.6,"HENNEPIN"
"basement",4,"HENNEPIN"
"basement",1.8,"HENNEPIN"
"basement",2.5,"HENNEPIN"
"basement",11.2,"HENNEPIN"
"basement",2.6,"HENNEPIN"
"basement",3.9,"HENNEPIN"
"basement",7.4,"HENNEPIN"
"basement",1.3,"HENNEPIN"
"basement",0.9,"HENNEPIN"
"basement",0.4,"HENNEPIN"
"first",2.5,"HENNEPIN"
"basement",6,"HENNEPIN"
"basement",2,"HENNEPIN"
"basement",5.4,"HENNEPIN"
"basement",3,"HENNEPIN"
"basement",2.9,"HENNEPIN"
"basement",5.5,"HENNEPIN"
"basement",4.1,"HENNEPIN"
"basement",3.9,"HENNEPIN"
"basement",14.9,"HENNEPIN"
"basement",7.2,"HENNEPIN"
"basement",2.3,"HENNEPIN"
"first",2.8,"HENNEPIN"
"basement",4.4,"HENNEPIN"
"basement",1.5,"HENNEPIN"
"basement",8.6,"HENNEPIN"
"basement",5.6,"HENNEPIN"
"basement",8.6,"HENNEPIN"
"basement",3.8,"HENNEPIN"
"basement",1.8,"HENNEPIN"
"basement",1.9,"HENNEPIN"
"basement",5.5,"HENNEPIN"
"basement",2.5,"HENNEPIN"
"first",0.8,"HENNEPIN"
"basement",2.1,"HENNEPIN"
"basement",2.8,"HENNEPIN"
"basement",3.9,"HENNEPIN"
"basement",4.3,"HENNEPIN"
"basement",4.7,"HENNEPIN"
"basement",2.8,"HENNEPIN"
"basement",4.1,"HENNEPIN"
"basement",1.6,"HENNEPIN"
"basement",4.3,"HENNEPIN"
"first",0.7,"HENNEPIN"
"basement",5.5,"HENNEPIN"
"first",3.3,"HENNEPIN"
"basement",5.5,"HENNEPIN"
"basement",2.5,"HENNEPIN"
"basement",2.7,"HENNEPIN"
"basement",8.4,"HENNEPIN"
"basement",3.3,"HENNEPIN"
"basement",3.2,"HENNEPIN"
"basement",8.6,"HENNEPIN"
"basement",1.7,"HENNEPIN"
"basement",5.7,"HENNEPIN"
"basement",13,"HENNEPIN"
"basement",2.7,"HENNEPIN"
"basement",4.7,"HENNEPIN"
"basement",5.6,"HENNEPIN"
"basement",13.8,"HENNEPIN"
"first",7.6,"HENNEPIN"
"basement",5.7,"HENNEPIN"
"basement",4.6,"HENNEPIN"
"basement",7.6,"HENNEPIN"
"basement",2.6,"HENNEPIN"
"basement",4.5,"HENNEPIN"
"basement",5.9,"HENNEPIN"
"basement",2.2,"HENNEPIN"
"basement",2.4,"HENNEPIN"
"basement",4,"HENNEPIN"
"basement",4.6,"HENNEPIN"
"basement",4.6,"HENNEPIN"
"basement",10.9,"HENNEPIN"
"basement",7.6,"HENNEPIN"
"basement",3,"HENNEPIN"
"basement",1.5,"HENNEPIN"
"first",1.6,"HENNEPIN"
"basement",16.5,"HENNEPIN"
"basement",3.1,"HENNEPIN"
"basement",5.1,"HENNEPIN"
"basement",4.9,"HENNEPIN"
"basement",6,"HENNEPIN"
"first",0.9,"HENNEPIN"
"basement",1.8,"HENNEPIN"
"basement",3.9,"HENNEPIN"
"basement",5.6,"HENNEPIN"
"first",0.4,"HENNEPIN"
"basement",2.6,"HENNEPIN"
"basement",3.6,"HENNEPIN"
"basement",6.2,"HENNEPIN"
"basement",23.6,"HENNEPIN"
"basement",3.9,"HENNEPIN"
"basement",2.9,"HENNEPIN"
"basement",3,"HENNEPIN"
"basement",4.7,"HENNEPIN"
"basement",3,"HENNEPIN"
"basement",4.2,"HENNEPIN"
"basement",3.8,"HENNEPIN"
"basement",3,"HENNEPIN"
"basement",4.3,"HENNEPIN"
"first",2.9,"HENNEPIN"
"basement",3.4,"HOUSTON"
"basement",8.5,"HOUSTON"
"basement",9,"HOUSTON"
"first",4.8,"HOUSTON"
"basement",3.6,"HOUSTON"
"first",2.2,"HOUSTON"
"first",2.8,"HUBBARD"
"first",0.8,"HUBBARD"
"basement",1.5,"HUBBARD"
"basement",4.6,"HUBBARD"
"first",3.7,"HUBBARD"
"basement",3.6,"ISANTI"
"basement",3,"ISANTI"
"basement",2.2,"ISANTI"
"basement",1.9,"ITASCA"
"basement",2.6,"ITASCA"
"basement",1.8,"ITASCA"
"basement",2.4,"ITASCA"
"basement",4.3,"ITASCA"
"basement",2.6,"ITASCA"
"basement",1.1,"ITASCA"
"basement",3.3,"ITASCA"
"basement",2.5,"ITASCA"
"basement",9.4,"ITASCA"
"basement",1.3,"ITASCA"
"basement",8.4,"JACKSON"
"basement",5,"JACKSON"
"basement",2.9,"JACKSON"
"basement",13.1,"JACKSON"
"basement",15.3,"JACKSON"
"basement",1.8,"KANABEC"
"basement",3.8,"KANABEC"
"basement",7.9,"KANABEC"
"basement",2.6,"KANABEC"
"basement",11.3,"KANDIYOHI"
"basement",4.1,"KANDIYOHI"
"basement",12.3,"KANDIYOHI"
"basement",6.7,"KANDIYOHI"
"basement",6.9,"KITTSON"
"first",4.5,"KITTSON"
"first",0.9,"KITTSON"
"basement",1.7,"KOOCHICHING"
"basement",1.4,"KOOCHICHING"
"first",2,"KOOCHICHING"
"first",1,"KOOCHICHING"
"basement",1,"KOOCHICHING"
"first",2.8,"KOOCHICHING"
"first",1.3,"KOOCHICHING"
"first",11.3,"LAC QUI PARLE"
"basement",16,"LAC QUI PARLE"
"first",1.3,"LAKE"
"basement",1.3,"LAKE"
"basement",1.6,"LAKE"
"basement",0.9,"LAKE"
"basement",2.8,"LAKE"
"basement",0.5,"LAKE"
"basement",1.5,"LAKE"
"basement",7.1,"LAKE"
"basement",0.5,"LAKE"
"basement",10.1,"LAKE OF THE WOODS"
"first",4.3,"LAKE OF THE WOODS"
"basement",3.3,"LAKE OF THE WOODS"
"first",2.9,"LAKE OF THE WOODS"
"basement",12.5,"LE SUEUR"
"first",4.2,"LE SUEUR"
"basement",4.5,"LE SUEUR"
"basement",3.9,"LE SUEUR"
"basement",3.3,"LE SUEUR"
"basement",17.5,"LINCOLN"
"basement",10.6,"LINCOLN"
"basement",7.9,"LINCOLN"
"first",3.5,"LINCOLN"
"basement",6.5,"LYON"
"first",6.9,"LYON"
"basement",5.1,"LYON"
"basement",12,"LYON"
"basement",5.1,"LYON"
"basement",8.9,"LYON"
"basement",5.8,"LYON"
"basement",4.6,"LYON"
"basement",3.9,"MAHNOMEN"
"first",1.5,"MARSHALL"
"basement",23.8,"MARSHALL"
"first",0.9,"MARSHALL"
"first",1.4,"MARSHALL"
"first",1.1,"MARSHALL"
"basement",2.8,"MARSHALL"
"basement",48.2,"MARSHALL"
"first",0.9,"MARSHALL"
"basement",8.3,"MARSHALL"
"basement",4.1,"MARTIN"
"first",0.5,"MARTIN"
"basement",6.7,"MARTIN"
"basement",7.5,"MARTIN"
"basement",9.2,"MARTIN"
"basement",0.5,"MARTIN"
"basement",1.5,"MARTIN"
"basement",10.3,"MCLEOD"
"basement",3.9,"MCLEOD"
"basement",1.8,"MCLEOD"
"basement",9.9,"MCLEOD"
"basement",2.3,"MCLEOD"
"basement",4.4,"MCLEOD"
"basement",2.8,"MCLEOD"
"first",1.1,"MCLEOD"
"basement",1.2,"MCLEOD"
"first",1.6,"MCLEOD"
"first",25.4,"MCLEOD"
"first",0,"MCLEOD"
"basement",10.6,"MCLEOD"
"basement",2.3,"MEEKER"
"basement",3.9,"MEEKER"
"basement",7.2,"MEEKER"
"basement",2.1,"MEEKER"
"basement",3.2,"MEEKER"
"first",0.5,"MILLE LACS"
"basement",5.7,"MILLE LACS"
"basement",1.4,"MORRISON"
"basement",2.1,"MORRISON"
"basement",4.4,"MORRISON"
"basement",2.4,"MORRISON"
"basement",4.9,"MORRISON"
"first",3,"MORRISON"
"basement",3,"MORRISON"
"basement",2.8,"MORRISON"
"basement",3.9,"MORRISON"
"basement",10.9,"MOWER"
"basement",6.4,"MOWER"
"basement",2,"MOWER"
"basement",3,"MOWER"
"basement",4.5,"MOWER"
"basement",2.1,"MOWER"
"basement",8,"MOWER"
"first",1.3,"MOWER"
"basement",9.2,"MOWER"
"first",1.1,"MOWER"
"basement",10.6,"MOWER"
"basement",24,"MOWER"
"basement",9.1,"MOWER"
"basement",12.1,"MURRAY"
"basement",8.1,"NICOLLET"
"basement",10.8,"NICOLLET"
"basement",4.2,"NICOLLET"
"basement",15.7,"NICOLLET"
"basement",5.4,"NOBLES"
"basement",6.2,"NOBLES"
"basement",9.7,"NOBLES"
"basement",8.1,"NORMAN"
"basement",1.6,"NORMAN"
"first",1.6,"NORMAN"
"basement",6.4,"OLMSTED"
"basement",4.4,"OLMSTED"
"basement",11.2,"OLMSTED"
"basement",10,"OLMSTED"
"basement",4.5,"OLMSTED"
"basement",8,"OLMSTED"
"basement",2.3,"OLMSTED"
"basement",3.2,"OLMSTED"
"basement",5,"OLMSTED"
"basement",4.1,"OLMSTED"
"basement",1.1,"OLMSTED"
"basement",2,"OLMSTED"
"first",1.1,"OLMSTED"
"basement",2.9,"OLMSTED"
"basement",2.1,"OLMSTED"
"basement",7.8,"OLMSTED"
"basement",3.8,"OLMSTED"
"basement",2.5,"OLMSTED"
"basement",2.9,"OLMSTED"
"first",1.7,"OLMSTED"
"basement",2.5,"OLMSTED"
"basement",9.4,"OLMSTED"
"first",0.6,"OLMSTED"
"basement",2.7,"OTTER TAIL"
"first",1.1,"OTTER TAIL"
"first",2.1,"OTTER TAIL"
"basement",12,"OTTER TAIL"
"first",12.6,"OTTER TAIL"
"basement",3.2,"OTTER TAIL"
"basement",4.2,"OTTER TAIL"
"basement",3.8,"OTTER TAIL"
"first",3.7,"PENNINGTON"
"basement",5.8,"PENNINGTON"
"first",0.3,"PENNINGTON"
"basement",4.1,"PINE"
"basement",2.8,"PINE"
"basement",1.9,"PINE"
"first",1.2,"PINE"
"basement",1.2,"PINE"
"basement",1.5,"PINE"
"basement",9.4,"PIPESTONE"
"basement",1.7,"PIPESTONE"
"basement",12.1,"PIPESTONE"
"first",4.3,"PIPESTONE"
"basement",6.9,"POLK"
"first",1.4,"POLK"
"first",2.5,"POLK"
"basement",9.6,"POLK"
"basement",3.8,"POPE"
"basement",3.4,"POPE"
"basement",6.8,"RAMSEY"
"basement",3.6,"RAMSEY"
"basement",2.2,"RAMSEY"
"basement",2.6,"RAMSEY"
"basement",2.1,"RAMSEY"
"basement",7,"RAMSEY"
"basement",1.2,"RAMSEY"
"basement",3.8,"RAMSEY"
"basement",3.5,"RAMSEY"
"basement",4.2,"RAMSEY"
"first",1.6,"RAMSEY"
"first",2.8,"RAMSEY"
"basement",8.6,"RAMSEY"
"basement",6.2,"RAMSEY"
"basement",5.2,"RAMSEY"
"basement",2.7,"RAMSEY"
"basement",1.2,"RAMSEY"
"basement",3.5,"RAMSEY"
"basement",5.5,"RAMSEY"
"first",10.1,"RAMSEY"
"basement",5.5,"RAMSEY"
"basement",1.2,"RAMSEY"
"basement",4.9,"RAMSEY"
"basement",4,"RAMSEY"
"basement",3.5,"RAMSEY"
"basement",2.5,"RAMSEY"
"basement",1.2,"RAMSEY"
"basement",2.7,"RAMSEY"
"basement",1.7,"RAMSEY"
"basement",3.1,"RAMSEY"
"basement",0.7,"RAMSEY"
"basement",1,"RAMSEY"
"basement",1.9,"REDWOOD"
"basement",3.8,"REDWOOD"
"basement",8.9,"REDWOOD"
"basement",7.4,"REDWOOD"
"first",20.7,"REDWOOD"
"basement",6,"RENVILLE"
"basement",2.1,"RENVILLE"
"first",5.8,"RENVILLE"
"basement",9.7,"RICE"
"basement",6.4,"RICE"
"basement",4.6,"RICE"
"basement",5.6,"RICE"
"basement",19,"RICE"
"first",2.4,"RICE"
"basement",3,"RICE"
"basement",5.1,"RICE"
"basement",7.7,"RICE"
"basement",8.1,"RICE"
"basement",4.7,"RICE"
"basement",8.4,"ROCK"
"basement",1.6,"ROCK"
"first",6,"ROSEAU"
"first",1.1,"ROSEAU"
"basement",11.4,"ROSEAU"
"first",4.3,"ROSEAU"
"first",3.6,"ROSEAU"
"basement",10.3,"ROSEAU"
"first",3.4,"ROSEAU"
"basement",3.1,"ROSEAU"
"basement",3.6,"ROSEAU"
"basement",2.7,"ROSEAU"
"basement",4,"ROSEAU"
"first",1.2,"ROSEAU"
"first",1.7,"ROSEAU"
"first",4.2,"ROSEAU"
"first",19.3,"SCOTT"
"first",9.1,"SCOTT"
"basement",2,"SCOTT"
"basement",11.4,"SCOTT"
"basement",10.2,"SCOTT"
"first",2.1,"SCOTT"
"basement",1.2,"SCOTT"
"basement",3.2,"SCOTT"
"first",2,"SCOTT"
"basement",4.3,"SCOTT"
"basement",2.2,"SCOTT"
"basement",5.4,"SCOTT"
"basement",25.2,"SCOTT"
"basement",5.1,"SHERBURNE"
"basement",2.3,"SHERBURNE"
"basement",3.2,"SHERBURNE"
"basement",2.5,"SHERBURNE"
"basement",2.8,"SHERBURNE"
"basement",3.1,"SHERBURNE"
"basement",1.6,"SHERBURNE"
"basement",4.7,"SHERBURNE"
"basement",4,"SIBLEY"
"basement",5,"SIBLEY"
"basement",1.5,"SIBLEY"
"basement",4.8,"SIBLEY"
"basement",0.8,"ST LOUIS"
"first",0.5,"ST LOUIS"
"basement",2.4,"ST LOUIS"
"basement",2.3,"ST LOUIS"
"basement",4.6,"ST LOUIS"
"basement",11,"ST LOUIS"
"basement",14.9,"ST LOUIS"
"basement",8.6,"ST LOUIS"
"basement",4.5,"ST LOUIS"
"basement",1.5,"ST LOUIS"
"basement",3.9,"ST LOUIS"
"basement",1.8,"ST LOUIS"
"basement",1.6,"ST LOUIS"
"basement",0.5,"ST LOUIS"
"first",0.4,"ST LOUIS"
"first",0.5,"ST LOUIS"
"basement",8.7,"ST LOUIS"
"first",1.6,"ST LOUIS"
"basement",1.4,"ST LOUIS"
"basement",8.7,"ST LOUIS"
"basement",11.1,"ST LOUIS"
"basement",1.5,"ST LOUIS"
"basement",1.1,"ST LOUIS"
"first",0.9,"ST LOUIS"
"basement",0.7,"ST LOUIS"
"basement",4.2,"ST LOUIS"
"basement",3.4,"ST LOUIS"
"first",2.1,"ST LOUIS"
"basement",2.9,"ST LOUIS"
"basement",1.8,"ST LOUIS"
"basement",1.8,"ST LOUIS"
"basement",2.4,"ST LOUIS"
"basement",1.7,"ST LOUIS"
"first",0.8,"ST LOUIS"
"basement",11.7,"ST LOUIS"
"basement",1.8,"ST LOUIS"
"basement",2.8,"ST LOUIS"
"first",3.5,"ST LOUIS"
"basement",3.6,"ST LOUIS"
"basement",3.5,"ST LOUIS"
"basement",3,"ST LOUIS"
"first",3.2,"ST LOUIS"
"basement",3.1,"ST LOUIS"
"basement",3.3,"ST LOUIS"
"first",1.7,"ST LOUIS"
"basement",5.6,"ST LOUIS"
"basement",3.4,"ST LOUIS"
"basement",1.5,"ST LOUIS"
"basement",32.2,"ST LOUIS"
"basement",1.1,"ST LOUIS"
"basement",2.1,"ST LOUIS"
"basement",0.8,"ST LOUIS"
"basement",1.5,"ST LOUIS"
"basement",1.3,"ST LOUIS"
"basement",3.1,"ST LOUIS"
"basement",7.2,"ST LOUIS"
"basement",1.4,"ST LOUIS"
"basement",1.3,"ST LOUIS"
"basement",1.5,"ST LOUIS"
"basement",5,"ST LOUIS"
"basement",2.3,"ST LOUIS"
"basement",2.4,"ST LOUIS"
"basement",1.2,"ST LOUIS"
"basement",5.4,"ST LOUIS"
"basement",1.1,"ST LOUIS"
"basement",1.4,"ST LOUIS"
"first",7.2,"ST LOUIS"
"basement",1.1,"ST LOUIS"
"basement",3.3,"ST LOUIS"
"basement",3.2,"ST LOUIS"
"basement",1.5,"ST LOUIS"
"basement",3.6,"ST LOUIS"
"basement",0.8,"ST LOUIS"
"basement",1.6,"ST LOUIS"
"basement",1.4,"ST LOUIS"
"basement",2.7,"ST LOUIS"
"basement",3.3,"ST LOUIS"
"basement",0.9,"ST LOUIS"
"basement",0.6,"ST LOUIS"
"basement",2,"ST LOUIS"
"basement",1.9,"ST LOUIS"
"basement",0.9,"ST LOUIS"
"basement",5.4,"ST LOUIS"
"basement",1.5,"ST LOUIS"
"basement",3.1,"ST LOUIS"
"basement",1.8,"ST LOUIS"
"first",0.9,"ST LOUIS"
"basement",3.3,"ST LOUIS"
"basement",1.7,"ST LOUIS"
"basement",3.1,"ST LOUIS"
"first",0.7,"ST LOUIS"
"basement",4.3,"ST LOUIS"
"basement",1.4,"ST LOUIS"
"basement",1.8,"ST LOUIS"
"basement",1.5,"ST LOUIS"
"first",2.2,"ST LOUIS"
"basement",2.4,"ST LOUIS"
"basement",2.7,"ST LOUIS"
"basement",1.7,"ST LOUIS"
"first",1.1,"ST LOUIS"
"first",1.8,"ST LOUIS"
"basement",0.2,"ST LOUIS"
"basement",2.2,"ST LOUIS"
"basement",4.6,"ST LOUIS"
"basement",2.1,"ST LOUIS"
"basement",2,"ST LOUIS"
"basement",0.7,"ST LOUIS"
"basement",6.4,"ST LOUIS"
"basement",3,"ST LOUIS"
"basement",2,"ST LOUIS"
"basement",0.9,"ST LOUIS"
"basement",3.3,"ST LOUIS"
"basement",1.8,"ST LOUIS"
"basement",1.8,"ST LOUIS"
"basement",2.2,"ST LOUIS"
"basement",4.3,"ST LOUIS"
"basement",7.5,"STEARNS"
"basement",6.4,"STEARNS"
"basement",8.3,"STEARNS"
"basement",2.1,"STEARNS"
"basement",3.3,"STEARNS"
"basement",1.3,"STEARNS"
"basement",5,"STEARNS"
"first",1,"STEARNS"
"basement",7,"STEARNS"
"basement",5.7,"STEARNS"
"basement",10.1,"STEARNS"
"basement",6.6,"STEARNS"
"first",2.6,"STEARNS"
"basement",3.3,"STEARNS"
"first",1.5,"STEARNS"
"basement",5,"STEARNS"
"basement",7.4,"STEARNS"
"basement",14.5,"STEARNS"
"basement",1.8,"STEARNS"
"basement",7.4,"STEARNS"
"basement",2.6,"STEARNS"
"basement",3.7,"STEARNS"
"basement",1.9,"STEARNS"
"first",2.2,"STEARNS"
"basement",5,"STEARNS"
"basement",7.3,"STEELE"
"basement",3.7,"STEELE"
"basement",2.9,"STEELE"
"basement",4.4,"STEELE"
"basement",8.4,"STEELE"
"basement",5.1,"STEELE"
"basement",3.6,"STEELE"
"basement",1.5,"STEELE"
"basement",8.6,"STEELE"
"basement",10.6,"STEELE"
"basement",8,"STEVENS"
"basement",4.5,"STEVENS"
"basement",3,"SWIFT"
"basement",2.4,"SWIFT"
"basement",1.5,"SWIFT"
"basement",4.8,"SWIFT"
"basement",6.8,"TODD"
"basement",2.1,"TODD"
"first",6,"TODD"
"first",2.9,"TRAVERSE"
"basement",6.7,"TRAVERSE"
"basement",19.3,"TRAVERSE"
"basement",4,"TRAVERSE"
"basement",5.9,"WABASHA"
"basement",9,"WABASHA"
"basement",8.4,"WABASHA"
"first",1.1,"WABASHA"
"basement",3.1,"WABASHA"
"basement",11.5,"WABASHA"
"basement",9.6,"WABASHA"
"basement",2.9,"WADENA"
"first",0.7,"WADENA"
"first",3.2,"WADENA"
"basement",4.7,"WADENA"
"basement",4.8,"WADENA"
"basement",0.4,"WASECA"
"basement",9.3,"WASECA"
"basement",1.7,"WASECA"
"first",0.9,"WASECA"
"basement",10.2,"WASHINGTON"
"basement",7.7,"WASHINGTON"
"basement",2.2,"WASHINGTON"
